COM_AV,COM_AP,NCC_AV,NCC_AP
48125,48094,RECOUX,MASSEGROS CAUSSES GORGES
48122,48146,QUEZAC,GORGES DU TARN CAUSSES
48101,48146,MONTBRUN,GORGES DU TARN CAUSSES
46077,46156,COURS,BELLEFONT LA RAUZE
48093,48027,MAS D ORCIERES,MONT LOZERE ET GOULET
48084,48139,LAVAL ATGER,SAINT BONNET LAVAL
48076,48009,JAVOLS,PEYRE EN AUBRAC
48060,48009,FAU DE PEYRE,PEYRE EN AUBRAC
48047,48009,CHAZE DE PEYRE,PEYRE EN AUBRAC
48040,48027,CHASSERADES,MONT LOZERE ET GOULET
48023,48027,BELVEZET,MONT LOZERE ET GOULET
48014,48027,BAGNOLS LES BAINS,MONT LOZERE ET GOULET
52262,52140,LAMOTHE EN BLAISY,COLOMBEY LES DEUX EGLISES
46327,46156,VALROUFIE,BELLEFONT LA RAUZE
46248,46063,SAINTE ALAUZIE,CASTELNAU MONTRATIER SAINTE ALAUZIE
52238,52140,HARRICOURT,COLOMBEY LES DEUX EGLISES
61161,61474,FEL,GOUFFERN EN AUGE
52279,52140,LAVILLENEUVE AUX FRESNES,COLOMBEY LES DEUX EGLISES
52404,52140,PRATZ,COLOMBEY LES DEUX EGLISES
79006,79136,ALLEUDS,ALLOINAY
77503,77262,VILLEGRUIS,LOUAN VILLEGRUIS FONTAINE
77491,77316,VENEUX LES SABLONS,MORET LOING ET ORVANNE
77299,77316,MONTARLOT,MORET LOING ET ORVANNE
77189,77262,FONTAINE SOUS MONTAIGUILLON,LOUAN VILLEGRUIS FONTAINE
