,originID,destID
39653,1880,589
39654,1880,2418
39655,1880,1670
39656,1880,1877
39657,1880,1171
39658,1880,549
39659,1880,2012
39660,1880,1406
39661,1880,1233
39662,1880,82
39663,1880,1044
39664,1881,1270
39665,1881,1526
39666,1881,374
39667,1881,295
39668,1881,1669
39669,1881,1258
39670,1881,1013
39671,1881,1973
39672,1881,305
39673,1881,1242
39674,1881,2206
39675,1881,243
39676,1881,566
39677,1881,1387
39678,1881,1881
39679,1881,286
39680,1881,888
39681,1881,1005
39682,1881,465
39683,1881,972
39684,1881,918
39685,1881,587
39686,1881,2439
39687,1881,1072
39688,1881,450
39689,1881,1751
39690,1881,1319
39691,1881,1890
39692,1882,2147
39693,1882,344
39694,1882,1191
39695,1882,2227
39696,1882,383
39697,1882,982
39698,1882,1203
39699,1882,1202
39700,1882,1351
39701,1882,2424
39702,1882,332
39703,1882,2237
39704,1882,1882
39705,1882,1817
39706,1883,1590
39707,1883,1631
39708,1883,920
39709,1883,91
39710,1883,809
39711,1883,1193
39712,1883,1623
39713,1883,1603
39714,1883,1883
39715,1883,1391
39716,1883,2043
39717,1883,1758
39718,1883,596
39719,1883,1235
39720,1883,2143
39721,1883,604
39722,1883,936
39723,1883,1887
39724,1883,1376
39725,1883,1390
39726,1883,461
39727,1883,1923
39728,1883,990
39729,1883,486
39730,1883,1999
39731,1883,593
39732,1883,2096
39733,1883,1748
39734,1884,1092
39735,1884,1348
39736,1884,1647
39737,1884,41
39738,1884,981
39739,1884,229
39740,1884,2548
39741,1884,1884
39742,1884,1
39743,1884,2259
39744,1884,1328
39745,1884,1673
39746,1884,2245
39747,1884,724
39748,1884,1347
39749,1884,2080
39750,1884,490
39751,1884,1353
39752,1884,107
39753,1884,146
39754,1884,1291
39755,1884,1053
39756,1885,592
39757,1885,874
39758,1885,1708
39759,1885,501
39760,1885,1772
39761,1885,791
39762,1885,148
39763,1885,120
39764,1885,564
39765,1885,2045
39766,1885,2534
39767,1885,1838
39768,1885,869
39769,1885,742
39770,1885,43
39771,1885,1855
39772,1885,808
39773,1885,441
39774,1885,1377
39775,1885,1933
39776,1885,1253
39777,1885,1613
39778,1885,2010
39779,1885,554
39780,1885,181
39781,1885,1885
39782,1885,1630
39783,1885,861
39784,1885,595
39785,1885,1661
39786,1885,1009
39787,1885,73
39788,1885,2340
39789,1886,2537
39790,1886,391
39791,1886,2413
39792,1886,2480
39793,1886,1029
39794,1886,1466
39795,1886,1664
39796,1886,405
39797,1886,1583
39798,1886,235
39799,1886,1065
39800,1886,1886
39801,1886,684
39802,1887,321
39803,1887,2466
39804,1887,1623
39805,1887,1193
39806,1887,1887
39807,1887,44
39808,1887,1451
39809,1887,168
39810,1887,2143
39811,1887,317
39812,1887,1064
39813,1887,461
39814,1887,407
39815,1887,1883
39816,1887,596
39817,1887,33
39818,1887,112
39819,1887,1631
39820,1887,573
39821,1887,1390
39822,1887,1518
39823,1887,2096
39824,1887,920
39825,1887,1765
39826,1887,486
39827,1887,1376
39828,1887,1748
39829,1887,1956
39830,1887,979
39831,1887,1271
39832,1887,904
39833,1888,2321
39834,1888,1888
39835,1888,740
39836,1888,999
39837,1888,2150
39838,1888,1528
39839,1888,620
39840,1888,2306
39841,1888,483
39842,1888,2007
39843,1888,708
39844,1888,2224
39845,1888,280
39846,1888,907
39847,1888,387
39848,1888,2531
39849,1888,2285
39850,1888,958
39851,1888,2139
39852,1888,1196
39853,1888,1207
39854,1888,172
39855,1888,2278
39856,1888,1385
39857,1888,2093
39858,1888,2317
39859,1888,2287
39860,1888,2115
39861,1889,2268
39862,1889,1201
39863,1889,2398
39864,1889,1333
39865,1889,1584
39866,1889,1836
39867,1889,1403
39868,1889,2043
39869,1889,1758
39870,1889,91
39871,1889,702
39872,1889,1687
39873,1889,1935
39874,1889,1752
39875,1889,116
39876,1889,2174
39877,1889,47
39878,1889,1372
39879,1889,1141
39880,1889,2122
39881,1889,2246
39882,1889,1660
39883,1889,931
39884,1889,876
39885,1889,1125
39886,1889,1889
39887,1889,292
39888,1889,1642
39889,1889,891
39890,1889,1084
39891,1889,1514
39892,1889,664
39893,1889,2074
39894,1889,1608
39895,1889,191
39896,1889,231
39897,1890,1973
39898,1890,1072
39899,1890,305
39900,1890,1881
39901,1890,450
39902,1890,1258
39903,1890,1387
39904,1890,1903
39905,1890,78
39906,1890,566
39907,1890,27
39908,1890,1890
39909,1890,727
39910,1890,286
39911,1890,1270
39912,1890,465
39913,1890,2206
39914,1890,1000
39915,1890,918
39916,1890,587
39917,1890,972
39918,1890,358
39919,1890,1304
39920,1890,1005
39921,1890,1669
39922,1891,630
39923,1891,716
39924,1891,2040
39925,1891,2016
39926,1891,1891
39927,1891,1450
39928,1891,690
39929,1891,1917
39930,1891,1657
39931,1891,2083
39932,1891,1611
39933,1891,299
39934,1891,1614
39935,1891,1491
39936,1891,1465
39937,1891,612
39938,1891,1569
39939,1891,302
39940,1891,123
39941,1891,1521
39942,1891,335
39943,1891,865
39944,1891,1602
39945,1891,1539
39946,1892,1650
39947,1892,1120
39948,1892,1582
39949,1892,1729
39950,1892,816
39951,1892,42
39952,1892,1448
39953,1892,539
39954,1892,252
39955,1892,430
39956,1892,2372
39957,1892,758
39958,1892,1463
39959,1892,1770
39960,1892,859
39961,1892,1572
39962,1892,167
39963,1892,656
39964,1892,1540
39965,1892,839
39966,1892,703
39967,1892,2146
39968,1892,1716
39969,1892,232
39970,1892,1892
39971,1892,1870
39972,1892,552
39973,1893,639
39974,1893,2536
39975,1893,1627
39976,1893,2121
39977,1893,1547
39978,1893,560
39979,1893,812
39980,1893,1749
39981,1893,425
39982,1893,2151
39983,1893,481
39984,1893,967
39985,1893,58
39986,1893,1893
39987,1893,336
39988,1893,916
39989,1893,2101
39990,1893,1012
39991,1893,1237
39992,1894,67
39993,1894,2361
39994,1894,339
39995,1894,1978
39996,1894,1093
39997,1894,2416
39998,1894,516
39999,1894,2186
40000,1894,1810
40001,1894,2463
40002,1894,1894
40003,1894,1698
40004,1894,2038
40005,1894,1552
40006,1894,846
40007,1894,1620
40008,1894,103
40009,1894,649
40010,1894,732
40011,1894,1173
40012,1894,1259
40013,1894,1948
40014,1894,608
40015,1894,756
40016,1895,1895
40017,1895,1703
40018,1895,2341
40019,1895,125
40020,1895,2229
40021,1895,1273
40022,1895,1865
40023,1895,2019
40024,1895,1970
40025,1895,93
40026,1895,121
40027,1895,786
40028,1895,1225
40029,1895,1680
40030,1895,1588
40031,1895,637
40032,1895,318
40033,1895,435
40034,1896,2272
40035,1896,138
40036,1896,687
40037,1896,819
40038,1896,1896
40039,1896,1869
40040,1896,1011
40041,1896,226
40042,1896,1498
40043,1896,673
40044,1896,1220
40045,1896,2108
40046,1896,544
40047,1896,1341
40048,1896,941
40049,1896,526
40050,1896,996
40051,1896,1132
40052,1896,6
40053,1896,1462
40054,1896,2290
40055,1896,693
40056,1896,2129
40057,1896,376
40058,1897,700
40059,1897,1153
40060,1897,1073
40061,1897,1340
40062,1897,1126
40063,1897,1804
40064,1897,1310
40065,1897,528
40066,1897,2430
40067,1897,2159
40068,1897,1087
40069,1897,131
40070,1897,1897
40071,1897,1428
40072,1897,1968
40073,1897,1243
40074,1897,973
40075,1897,2325
40076,1897,988
40077,1897,845
40078,1897,1284
40079,1897,995
40080,1897,2178
40081,1897,830
40082,1897,1401
40083,1897,1754
40084,1897,1447
40085,1898,2507
40086,1898,1512
40087,1898,210
40088,1898,1692
40089,1898,1424
40090,1898,1515
40091,1898,215
40092,1898,2506
40093,1898,196
40094,1898,1098
40095,1898,2197
40096,1898,1898
40097,1898,2004
40098,1898,2120
40099,1898,1488
40100,1898,2023
40101,1898,236
40102,1898,370
40103,1898,233
40104,1898,0
40105,1898,1285
40106,1898,1945
40107,1898,49
40108,1898,954
40109,1898,1844
40110,1898,1055
40111,1898,1426
40112,1898,1346
40113,1899,935
40114,1899,1239
40115,1899,534
40116,1899,2235
40117,1899,1023
40118,1899,1425
40119,1899,417
40120,1899,320
40121,1899,827
40122,1899,2028
40123,1899,149
40124,1899,1334
40125,1899,1519
40126,1899,300
40127,1899,328
40128,1899,1103
40129,1899,213
40130,1899,1899
40131,1899,1221
40132,1899,2384
40133,1899,1621
40134,1899,462
40135,1899,1315
40136,1900,2415
40137,1900,1031
40138,1900,1378
40139,1900,475
40140,1900,2239
40141,1900,1306
40142,1900,1900
40143,1900,2035
40144,1900,1400
40145,1900,1529
40146,1900,1668
40147,1900,1383
40148,1900,2063
40149,1900,224
40150,1900,701
40151,1900,1454
40152,1900,137
40153,1900,662
40154,1900,371
40155,1900,1541
40156,1900,1736
40157,1901,297
40158,1901,2274
40159,1901,1568
40160,1901,2492
40161,1901,2360
40162,1901,130
40163,1901,1800
40164,1901,723
40165,1901,1901
40166,1901,9
40167,1901,640
40168,1901,709
40169,1901,185
40170,1901,248
40171,1901,2258
40172,1901,1513
40173,1901,222
40174,1902,437
40175,1902,963
40176,1902,1850
40177,1902,1358
40178,1902,2091
